question_id,question,gold_primary,direct_answer,rag_answer,direct_correctness_label,rag_correctness_label,comparison_outcome,bm25_gold_supported_in_top_k,bm25_supported_gold_answer,bm25_supported_rank,manual_label,error_type,review_notes,review_status
tc_993,What are the international registration letters of a vehicle from Sri Lanka?,CL,CL,INSUFFICIENT_EVIDENCE,correct,incorrect,rag_regressed,True,CL,1.0,direct_correct_rag_wrong,incorrect_entity,RAG changed a better direct answer into a worse answer.,human_verified
tc_1412,Who became Queen of the Netherlands in 1980?,Beatrix,Queen Beatrix,Beatrix,partially_correct,correct,rag_fixed,True,Beatrix,2.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
tc_2646,What is the term used when a sitting MP is removed as the candidate for a forthcoming election?,Deselection,Deselected.,INSUFFICIENT_EVIDENCE,incorrect,incorrect,unchanged,False,,,both_wrong,retrieval_failure,Neither system returned the benchmark answer and BM25 did not find answer support.,human_verified
tc_3138,Who developed the 'aperture synthesis' method of radio astronomy?,Martin Ryle,Martin Ryle,Martin Ryle and Antony Hewish,correct,partially_correct,rag_regressed,True,Martin Ryle,1.0,direct_correct_rag_partial,overcomplete_answer,RAG included extra information beyond the expected answer.,human_verified
qz_1955,"Developed by Nintendo in the 1980s, what is currently the biggest selling video game of all time?",Super Mario Bros.,Minecraft,Wii Sports,incorrect,incorrect,unchanged,True,Mario 1,2.0,both_wrong,outdated_or_context_sensitive_fact,Both systems conflict with the benchmark answer on a time-sensitive or context-sensitive question.,human_verified
qz_3831,Mother Theresa was born in which country?,Macedonia,North Macedonia,Albania,partially_correct,incorrect,rag_regressed_to_incorrect,True,Macedonia,1.0,direct_correct_rag_wrong,incorrect_entity,RAG changed a better direct answer into a worse answer.,human_verified
qb_2186,How many points is a ‘Try’ worth in a game of rugby union?,Five,5,Five points,correct,partially_correct,rag_regressed,True,Five,2.0,direct_correct_rag_partial,overcomplete_answer,RAG included extra information beyond the expected answer.,human_verified
qb_2737,Austrian-born Hermann Maier is a former world champion in which sport?,Skiing,Alpine skiing,Alpine skiing,partially_correct,partially_correct,unchanged,True,Skiing,1.0,ambiguous_partial,wrong_granularity,Both systems are close but differ from the expected answer granularity.,human_verified
qb_4643,"Satyriasis is excessive, often uncontrollable, what in a man?",Sexual desire,sexual desire,sexual desire in a man,correct,partially_correct,rag_regressed,True,Sexual desire,1.0,direct_correct_rag_partial,overcomplete_answer,RAG included extra information beyond the expected answer.,human_verified
qb_4760,A spinone is what type of animal?,Dog,Dog breed,dog,partially_correct,correct,rag_fixed,True,Dog,2.0,direct_partial_rag_correct,wrong_granularity,RAG returned the expected shorter gold answer while direct was over-specific or differently phrased.,human_verified
