question_id,question,gold_primary,predicted_answer,correctness_label,metric_normalized_exact_match,metric_token_f1,gold_supported_in_top_k,supported_gold_answer,supported_rank,prediction_is_empty,prediction_is_insufficient_evidence,answer_supported_by_retrieved_evidence,answer_support_passage_rank,supported_or_abstained,unsupported_answer_proxy,refused_despite_gold_support,groundedness_bucket,evidence_passage_count,evidence_char_count
tc_252,Who won the Oscar for directing It Happened One Night?,Frank Capra,Frank Capra,correct,1,1.0,True,Frank Capra,1.0,False,False,True,1,True,False,False,supported_correct,5,3541
tc_993,What are the international registration letters of a vehicle from Sri Lanka?,CL,INSUFFICIENT_EVIDENCE,incorrect,0,0.0,True,CL,1.0,False,True,False,,True,False,True,abstained_despite_gold_support,5,3753
tc_1412,Who became Queen of the Netherlands in 1980?,Beatrix,Beatrix,correct,1,1.0,True,Beatrix,2.0,False,False,True,2,True,False,False,supported_correct,5,3725
tc_2646,What is the term used when a sitting MP is removed as the candidate for a forthcoming election?,Deselection,INSUFFICIENT_EVIDENCE,incorrect,0,0.0,False,,,False,True,False,,True,False,False,abstained_without_gold_support,5,3576
tc_2905,What are the very narrow blood vessels which form a network between arteries and veins?,Capillaries,capillaries,correct,1,1.0,True,Capillaries,1.0,False,False,True,1,True,False,False,supported_correct,5,3567
tc_3138,Who developed the 'aperture synthesis' method of radio astronomy?,Martin Ryle,Martin Ryle and Antony Hewish,partially_correct,0,0.571429,True,Martin Ryle,1.0,False,False,True,1,True,False,False,supported_partial,5,4102
qz_718,Who scored the last ever goal in an FA Cup semi-final replay?,Ryan Giggs,Ryan Giggs,correct,1,1.0,True,Ryan Giggs,1.0,False,False,True,1,True,False,False,supported_correct,5,3100
qz_1955,"Developed by Nintendo in the 1980s, what is currently the biggest selling video game of all time?",Super Mario Bros.,Wii Sports,incorrect,0,0.0,True,Mario 1,2.0,False,False,True,1,True,False,False,supported_but_incorrect,5,3767
qz_3831,Mother Theresa was born in which country?,Macedonia,Albania,incorrect,0,0.0,True,Macedonia,1.0,False,False,True,1,True,False,False,supported_but_incorrect,5,3601
qb_167,"Durango, Veracruz and Campeche are all states in which country?",Mexico,Mexico,correct,1,1.0,True,Mexico,1.0,False,False,True,1,True,False,False,supported_correct,5,3782
qb_768,"In which board game do players use a ‘doubling cube’, which has the numbers 2,4,8,16,32,64 on it?",Backgammon,Backgammon,correct,1,1.0,True,Backgammon,1.0,False,False,True,1,True,False,False,supported_correct,5,3105
qb_2186,How many points is a ‘Try’ worth in a game of rugby union?,Five,Five points,partially_correct,0,0.666667,True,Five,2.0,False,False,True,2,True,False,False,supported_partial,5,3238
qb_2737,Austrian-born Hermann Maier is a former world champion in which sport?,Skiing,Alpine skiing,partially_correct,0,0.666667,True,Skiing,1.0,False,False,True,1,True,False,False,supported_partial,5,3709
qb_3924,What was the first name of the wife of late singer/musician Marc Bolan?,June,June,correct,1,1.0,True,June,3.0,False,False,True,3,True,False,False,supported_correct,5,3334
qb_4512,"In medicine, a rhinologist is concerned with which part of the human body?",Nose,nose,correct,1,1.0,True,Nose,1.0,False,False,True,1,True,False,False,supported_correct,1,567
qb_4643,"Satyriasis is excessive, often uncontrollable, what in a man?",Sexual desire,sexual desire in a man,partially_correct,0,0.75,True,Sexual desire,1.0,False,False,False,,False,True,False,unsupported_answer_proxy,5,4040
qb_4760,A spinone is what type of animal?,Dog,dog,correct,1,1.0,True,Dog,2.0,False,False,True,2,True,False,False,supported_correct,5,3465
