question_id,question,gold_primary,direct_answer,direct_normalized_exact_match,direct_token_f1,direct_correctness_label,direct_risk_label,rag_answer,rag_normalized_exact_match,rag_token_f1,rag_correctness_label,rag_risk_label,rag_gold_supported_in_top_k,rag_supported_gold_answer,rag_supported_rank,evidence_chunk_count,bm25_gold_supported_in_top_k,bm25_supported_gold_answer,bm25_supported_rank,retrieval_error,token_f1_delta_rag_minus_direct,normalized_em_delta_rag_minus_direct,comparison_outcome,needs_manual_review
tc_252,Who won the Oscar for directing It Happened One Night?,Frank Capra,Frank Capra,1,1.0,correct,low,Frank Capra,1,1.0,correct,low,True,Frank Capra,1.0,94,True,Frank Capra,1.0,,0.0,0,unchanged,False
tc_993,What are the international registration letters of a vehicle from Sri Lanka?,CL,CL,1,1.0,correct,low,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,True,CL,1.0,152,True,CL,1.0,,-1.0,-1,rag_regressed,True
tc_1412,Who became Queen of the Netherlands in 1980?,Beatrix,Queen Beatrix,0,0.666667,partially_correct,medium,Beatrix,1,1.0,correct,low,True,Beatrix,2.0,200,True,Beatrix,2.0,,0.333333,1,rag_fixed,True
tc_2646,What is the term used when a sitting MP is removed as the candidate for a forthcoming election?,Deselection,Deselected.,0,0.0,incorrect,high,INSUFFICIENT_EVIDENCE,0,0.0,incorrect,high,False,,,153,False,,,,0.0,0,unchanged,True
tc_2905,What are the very narrow blood vessels which form a network between arteries and veins?,Capillaries,Capillaries,1,1.0,correct,low,capillaries,1,1.0,correct,low,True,Capillaries,1.0,81,True,Capillaries,1.0,,0.0,0,unchanged,False
tc_3138,Who developed the 'aperture synthesis' method of radio astronomy?,Martin Ryle,Martin Ryle,1,1.0,correct,low,Martin Ryle and Antony Hewish,0,0.571429,partially_correct,medium,True,Martin Ryle,1.0,33,True,Martin Ryle,1.0,,-0.428571,-1,rag_regressed,True
qz_718,Who scored the last ever goal in an FA Cup semi-final replay?,Ryan Giggs,Ryan Giggs,1,1.0,correct,low,Ryan Giggs,1,1.0,correct,low,True,Ryan Giggs,1.0,18,True,Ryan Giggs,1.0,,0.0,0,unchanged,False
qz_1955,"Developed by Nintendo in the 1980s, what is currently the biggest selling video game of all time?",Super Mario Bros.,Minecraft,0,0.0,incorrect,high,Wii Sports,0,0.0,incorrect,high,True,Mario 1,2.0,200,True,Mario 1,2.0,,0.0,0,unchanged,True
qz_3831,Mother Theresa was born in which country?,Macedonia,North Macedonia,0,0.666667,partially_correct,medium,Albania,0,0.0,incorrect,high,True,Macedonia,1.0,89,True,Macedonia,1.0,,-0.666667,0,rag_regressed_to_incorrect,True
qb_167,"Durango, Veracruz and Campeche are all states in which country?",Mexico,Mexico,1,1.0,correct,low,Mexico,1,1.0,correct,low,True,Mexico,1.0,200,True,Mexico,1.0,,0.0,0,unchanged,False
qb_768,"In which board game do players use a ‘doubling cube’, which has the numbers 2,4,8,16,32,64 on it?",Backgammon,Backgammon,1,1.0,correct,low,Backgammon,1,1.0,correct,low,True,Backgammon,1.0,148,True,Backgammon,1.0,,0.0,0,unchanged,False
qb_2186,How many points is a ‘Try’ worth in a game of rugby union?,Five,5,1,1.0,correct,low,Five points,0,0.666667,partially_correct,medium,True,Five,2.0,149,True,Five,2.0,,-0.333333,-1,rag_regressed,True
